date,time,region,state,api,decision
11/25/2014,1:00AM,North,,45,good
11/25/2014,1:00AM,South,,43,good
11/25/2014,1:00AM,East,,41,good
11/25/2014,1:00AM,West,,40,good
11/25/2014,1:00AM,Central,,41,good
11/25/2014,2:00AM,North,,42,good
11/25/2014,2:00AM,South,,43,good
11/25/2014,2:00AM,East,,42,good
11/25/2014,2:00AM,West,,41,good
11/25/2014,2:00AM,Central,,40,good
11/25/2014,3:00AM,North,,40,good
11/25/2014,3:00AM,South,,40,good
11/25/2014,3:00AM,East,,40,good
11/25/2014,3:00AM,West,,40,good
11/25/2014,3:00AM,Central,,41,good
11/25/2014,4:00AM,North,,40,good
11/25/2014,4:00AM,South,,40,good
11/25/2014,4:00AM,East,,41,good
11/25/2014,4:00AM,West,,40,good
11/25/2014,4:00AM,Central,,40,good
11/25/2014,5:00AM,North,,40,good
11/25/2014,5:00AM,South,,41,good
11/25/2014,5:00AM,East,,42,good
11/25/2014,5:00AM,West,,43,good
11/25/2014,5:00AM,Central,,44,good
11/25/2014,6:00AM,North,,44,good
11/25/2014,6:00AM,South,,46,good
11/25/2014,6:00AM,East,,47,good
11/25/2014,6:00AM,West,,47,good
11/25/2014,6:00AM,Central,,47,good
11/25/2014,7:00AM,North,,47,good
11/25/2014,7:00AM,South,,47,good
11/25/2014,7:00AM,East,,46,good
11/25/2014,7:00AM,West,,46,good
11/25/2014,7:00AM,Central,,46,good
11/25/2014,8:00AM,North,,47,good
11/25/2014,8:00AM,South,,46,good
11/25/2014,8:00AM,East,,46,good
11/25/2014,8:00AM,West,,46,good
11/25/2014,8:00AM,Central,,47,good
11/25/2014,9:00AM,North,,47,good
11/25/2014,9:00AM,South,,21,good
11/25/2014,9:00AM,East,,46,good
11/25/2014,9:00AM,West,,47,good
11/25/2014,9:00AM,Central,,47,good
11/25/2014,10:00AM,North,,48,good
11/25/2014,10:00AM,South,,48,good
11/25/2014,10:00AM,East,,48,good
11/25/2014,10:00AM,West,,49,good
11/25/2014,10:00AM,Central,,50,good
11/25/2014,11:00AM,North,,49,good
11/25/2014,11:00AM,South,,52,moderate
11/25/2014,11:00AM,East,,48,good
11/25/2014,11:00AM,West,,49,good
11/25/2014,11:00AM,Central,,50,good
11/25/2014,12:00PM,North,,51,moderate
11/25/2014,12:00PM,South,,52,moderate
11/25/2014,12:00PM,East,,-,
11/25/2014,12:00PM,West,,52,moderate
11/25/2014,12:00PM,Central,,52,moderate
11/25/2014,1:00PM,North,,52,moderate
11/25/2014,1:00PM,South,,51,moderate
11/25/2014,1:00PM,East,,51,moderate
11/25/2014,1:00PM,West,,50,good
11/25/2014,1:00PM,Central,,50,good
11/25/2014,2:00PM,North,,50,good
11/25/2014,2:00PM,South,,49,good
11/25/2014,2:00PM,East,,49,good
11/25/2014,2:00PM,West,,48,good
11/25/2014,2:00PM,Central,,49,good
11/25/2014,3:00PM,North,,51,moderate
11/25/2014,3:00PM,South,,51,moderate
11/25/2014,3:00PM,East,,50,good
11/25/2014,3:00PM,West,,49,good
11/25/2014,3:00PM,Central,,49,good
11/25/2014,4:00PM,North,,24,good
11/25/2014,4:00PM,South,,51,moderate
11/25/2014,4:00PM,East,,52,moderate
11/25/2014,4:00PM,West,,52,moderate
11/25/2014,4:00PM,Central,,51,moderate
11/25/2014,5:00PM,North,,51,moderate
11/25/2014,5:00PM,South,,23,good
11/25/2014,5:00PM,East,,51,moderate
11/25/2014,5:00PM,West,,51,moderate
11/25/2014,5:00PM,Central,,-,
11/25/2014,6:00PM,North,,52,moderate
11/25/2014,6:00PM,South,,52,moderate
11/25/2014,6:00PM,East,,52,moderate
11/25/2014,6:00PM,West,,52,moderate
11/25/2014,6:00PM,Central,,52,moderate
11/25/2014,7:00PM,North,,52,moderate
11/25/2014,7:00PM,South,,52,moderate
11/25/2014,7:00PM,East,,52,moderate
11/25/2014,7:00PM,West,,52,moderate
11/25/2014,7:00PM,Central,,49,good
11/25/2014,8:00PM,North,,48,good
11/25/2014,8:00PM,South,,50,good
11/25/2014,8:00PM,East,,51,moderate
11/25/2014,8:00PM,West,,49,good
